Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput

Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,128,128,128,1,256,16384,16640,2.6037614435578385,6390.754437650297,0.38405976187802265
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,256,256,128,1,512,16384,16896,5.009068706693749,3373.0821015534157,0.19963790847262167
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,512,512,128,1,1024,16384,17408,9.885323180196186,1760.994525184003,0.10116007152941192
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,1024,1024,128,1,2048,16384,18432,19.64960257615894,938.0342390417468,0.05089161453134477
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,2048,2048,128,1,4096,16384,20480,39.115719518624246,523.5746715651956,0.025565169510019317
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,128,128,256,1,256,65536,65792,2.606369871646166,25242.771839764326,0.38367539882910273
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,256,256,256,1,512,65536,66048,5.008458896229665,13187.290016440087,0.19966221560743835
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,512,512,256,1,1024,65536,66560,9.88573701431354,6732.9324969527215,0.10115583679315987
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,1024,1024,256,1,2048,65536,67584,19.66314305830747,3437.0903878180593,0.050856569422023844
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,2048,2048,256,1,4096,65536,69632,39.10917403331647,1780.4518177929717,0.025569448210491896
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,128,128,512,1,256,262144,262400,2.6098332156737647,100542.82335902365,0.38316624755725476
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,256,256,512,1,512,262144,262656,5.0107530150562525,52418.46868340433,0.1995708024313335
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,512,512,512,1,1024,262144,263168,9.904117940925062,26571.57372011461,0.10096810296128181
