Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,128,128,128,1,256,16384,16640,0.3305653400020674,50338.00579303303,3.025120540446696
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,256,256,128,1,512,16384,16896,0.320912425328667,52649.87786838021,3.1161149306569724
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,512,512,128,1,1024,16384,17408,0.332648990675807,52331.43790586603,3.0061717547027818
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,1024,1024,128,1,2048,16384,18432,0.3818904053575049,48265.15602753877,2.6185523018412957
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,128,128,256,1,256,65536,65792,0.8342941736336797,78859.47436675715,1.1986179834441444
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,256,256,256,1,512,65536,66048,0.2808005133410916,235213.24521145283,3.5612470508032463
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,512,512,256,1,1024,65536,66560,0.3069015797227621,216877.34569540704,3.2583735831641683
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,1024,1024,256,1,2048,65536,67584,0.34835646332552034,194008.17012212687,2.870622782346811
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,128,128,512,1,256,262144,262400,0.2951877096590276,888925.8983820811,3.387674917614638
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,256,256,512,1,512,262144,262656,0.32447188801597804,809487.6927737603,3.0819310915180327
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,512,512,512,1,1024,262144,263168,0.33496378366059315,785661.0560222795,2.985397373625515
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,1024,1024,512,1,2048,262144,264192,0.3599386543113117,733991.7423025641,2.778251204815301
Nvidia A100 GPU,1,vLLM,facebook/chameleon-7b,128,128,1024,1,256,1048576,1048832,0.2790116616524756,3759097.3573942515,3.5840795831880143
