Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput

Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,128,1,256,16384,16640,0.6237994593878587,26675.23953343758,1.60307929888447
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,128,1,512,16384,16896,0.5209366946170727,32433.883376980804,1.9196190445656252
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,128,1,1024,16384,17408,0.7560929795727134,23023.62337742864,1.3225886590894211
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,128,1,2048,16384,18432,0.47002970923980075,39214.54248032718,2.127525091163584
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,2048,2048,128,1,4096,16384,20480,0.46220170178761083,44309.65944260173,2.1635575899707877

Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,256,1,256,65536,65792,0.5106393778696656,128842.3941656779,1.9583291914773513
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,256,1,512,65536,66048,0.6104841021200021,108189.54952412016,1.6380442939092805
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,256,1,1024,65536,66560,0.6384635471428434,104250.27442499946,1.5662601325871313
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,256,1,2048,65536,67584,0.445418539767464,151731.44798885792,2.2450794269184704
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,2048,2048,256,1,4096,65536,69632,0.5881074465190371,118400.13319359663,1.7003695598804662

Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,512,1,256,262144,262400,0.7770969445506731,337667.0077524534,1.2868407307639231









Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,128,1,256,16384,16640,0.323525160861512,51433.403064199105,3.09094970337735
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,128,1,512,16384,16896,0.3065321383376916,55119.832105129855,3.262300669100962
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,128,1,1024,16384,17408,0.4701252269248168,37028.432007082905,2.127092831289229
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,128,1,2048,16384,18432,0.8248616630832354,22345.565111007054,1.2123244960398791
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,2048,2048,128,1,4096,16384,20480,0.49938587720195454,41010.37080733817,2.002459512077059

Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,256,1,256,65536,65792,0.729595895546178,90175.94589227765,1.3706217456875858
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,256,1,512,65536,66048,0.42199513999124366,156513.65084766256,2.3696955373010926
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,256,1,1024,65536,66560,0.4214948220178485,157914.15818906898,2.372508386254041
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,256,1,2048,65536,67584,0.46867697934309643,144201.663360395,2.1336657102331174
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,2048,2048,256,1,4096,65536,69632,0.6873912392184138,101298.93432912216,1.4547755964085787

Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,512,1,256,262144,262400,0.33447668235749006,784509.0968689584,2.9897450337993843
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,512,1,512,262144,262656,0.34934812504798174,751846.0274086919,2.862474214975831
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,512,1,1024,262144,263168,0.5094496104866266,516573.1695203805,1.9629026687149673
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,512,1,2048,262144,264192,0.5035028293107947,524708.0743550768,1.9860861583813165
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,2048,2048,512,1,4096,262144,266240,0.5406710086390376,492425.14532112994,1.8495535806833305

Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,1024,1,256,1048576,1048832,0.3447390760605534,3042393.7198687997,2.9007445614443492



Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,128,1,256,16384,16640,0.36563509578506154,45509.85447464217,2.7349672160241685
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,128,1,512,16384,16896,0.6297500940660635,26829.690315580225,1.5879314817459886
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,128,1,1024,16384,17408,0.6209991499781609,28032.244489565244,1.61030816231418
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,128,1,2048,16384,18432,0.3897662345940868,47289.883945939,2.565640405053114
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,2048,2048,128,1,4096,16384,20480,0.7863194781045119,26045.393215196364,1.27174771558576

Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,256,1,256,65536,65792,0.36804351521035034,178761.47053534543,2.7170700166486115
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,256,1,512,65536,66048,0.2519449383641283,262152.51804163196,3.96912121550436
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,256,1,1024,65536,66560,0.46347985478738946,143609.26222032422,2.157591079031313
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,256,1,2048,65536,67584,0.8755804511408011,77187.65295861076,1.1420995051877776
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,2048,2048,256,1,4096,65536,69632,0.8451467094322046,82390.42904962726,1.183226520129068

