Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,128,1,256,16384,16640,0.6662776547794541,24974.573108726032,1.5008757877840162
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,128,1,512,16384,16896,0.5218509556725621,32377.060569381185,1.9162559522597766
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,128,1,1024,16384,17408,0.6787352006261548,25647.704707138466,1.4733286251802886
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,128,1,2048,16384,18432,0.8540252273281416,21582.500621984418,1.1709255979809254
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,256,1,256,65536,65792,0.46580666831384104,141243.1475877286,2.1468134056986963
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,256,1,512,65536,66048,0.5297112793972095,124686.79178430939,1.887820854292475
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,256,1,1024,65536,66560,0.603105567706128,110362.10501779405,1.6580845104836848
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,256,1,2048,65536,67584,0.7590404041111469,89038.73843071944,1.3174529242234767
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,512,1,256,262144,262400,0.694415444197754,377871.7800597683,1.4400601374228974
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,512,1,512,262144,262656,0.6964664595822493,377126.55991724983,1.4358193222970344
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,512,1,1024,262144,263168,0.5572438187276324,472267.23950190697,1.794546599517825
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,512,1,2048,262144,264192,0.6272527274365226,421189.0812810152,1.5942537294127574
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,1024,1,256,1048576,1048832,0.5578963148097197,1879976.569405594,1.79244776037115
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,1024,1,512,1048576,1049088,0.5932851247489452,1768269.5153429518,1.685530208469596
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,1024,1,1024,1048576,1049600,0.44811779260635376,2342241.2975286935,2.2315561142613314
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,1024,1,2048,1048576,1050624,0.5774696807687482,1819357.8554658869,1.731692646908777
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,128,16,4096,262144,266240,1.9007240592812498,140072.93625813178,8.41784472705119
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,128,16,8192,262144,270336,1.9697487854088347,137243.89729418716,8.12286323947604
