Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput

Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,128,128,128,1,256,16384,16640,2.5953263863921165,6411.524996334675,0.3853079925681896
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,256,256,128,1,512,16384,16896,4.9750580393398804,3396.141284462655,0.20100268018836737
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,512,512,128,1,1024,16384,17408,9.861404350027442,1765.265816318703,0.10140543522051372
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,1024,1024,128,1,2048,16384,18432,19.560757778895397,942.2947826636224,0.051122763816385766

Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,128,128,256,1,256,65536,65792,2.606139205318565,25245.006047924377,0.38370935748912294
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,256,256,256,1,512,65536,66048,4.996149153371031,13219.78147018203,0.2001541525887541
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,512,512,256,1,1024,65536,66560,9.906072380642096,6719.111010138378,0.10094818224366554
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,1024,1024,256,1,2048,65536,67584,19.648305957399618,3439.6858511126575,0.05089497293904855

Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,128,128,512,1,256,262144,262400,2.6016311979619786,100859.79911586024,0.384374234435443
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,256,256,512,1,512,262144,262656,4.998838721037221,52543.40350982575,0.20004646194956807
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,512,512,512,1,1024,262144,263168,9.903964252366373,26571.98605468722,0.10096966977249217
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-3.2-11B-Vision-Instruct,1024,1024,512,1,2048,262144,264192,19.66413595698153,13435.22037164321,0.0508540015278404

