Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput

Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,128,128,128,1,256,16384,16640,1.76025327326109,9453.185091468293,0.5681000655930465
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,256,256,128,1,512,16384,16896,2.271258123219013,7439.048792945473,0.44028461132489777
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,512,512,128,1,1024,16384,17408,0.6392163240040342,27233.34706309868,1.564415617135724
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,1024,1024,128,1,2048,16384,18432,0.7076670272896687,26046.147819820984,1.4130939572385517
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,128,128,256,1,256,65536,65792,1.5239422861486673,43172.238606404615,0.656192829012716
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,256,256,256,1,512,65536,66048,2.948003071049849,22404.31858725264,0.33921267240874275
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,512,512,256,1,1024,65536,66560,0.6196961946164569,107407.46930226899,1.613693949853801
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,1024,1024,256,1,2048,65536,67584,3.444357182520131,19621.65838751684,0.2903299358948396
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,128,128,512,1,256,262144,262400,0.8035351503640413,326556.96503273037,1.2445006289357103
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,256,256,512,1,512,262144,262656,0.5940595219532648,442137.5136558511,1.6833330045986046
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,512,512,512,1,1024,262144,263168,2.2219022049879036,118442.65666113452,0.45006481282349875
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,1024,1024,512,1,2048,262144,264192,0.6561102457344532,402664.03659687116,1.524134101702062
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,128,128,1024,1,256,1048576,1048832,0.9989501591771841,1049934.2638514645,1.0010509441468838
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,256,256,1024,1,512,1048576,1049088,1.581963508700331,663155.625417607,0.632125832549421
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,512,512,1024,1,1024,1048576,1049600,0.8793436534081897,1193617.5304523152,1.13721182398277
Nvidia A100 GPU,1,vLLM,allenai/Molmo-7B-D-0924,1024,1024,1024,1,2048,1048576,1050624,0.8120903732875983,1293727.9329475884,1.2313900433909644

Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,128,128,128,1,256,16384,16640,1.1319753599042695,14699.966615357454,0.883411455249847
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,256,256,128,1,512,16384,16896,0.5485060143594941,30803.673173447212,1.8231340656633057
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,512,512,128,1,1024,16384,17408,0.6451207141702374,26984.097111794643,1.550097490337468
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,1024,1024,128,1,2048,16384,18432,0.49887777989109355,36946.92516476432,2.004498978123064
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,128,128,256,1,256,65536,65792,0.8603608310222626,76470.24088931075,1.1623030290812066
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,256,256,256,1,512,65536,66048,1.9929393014560144,33140.99930276162,0.501771428396948
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,512,512,256,1,1024,65536,66560,0.451821681112051,147314.75443183354,2.213262536535961
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,1024,1024,256,1,2048,65536,67584,2.332394269295037,28976.233087910638,0.4287439791653444
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,128,128,512,1,256,262144,262400,0.7533137211576104,348327.6523846828,1.3274681874416265
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,256,256,512,1,512,262144,262656,0.4964905896534522,529025.1325474919,2.0141368655103706
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,512,512,512,1,1024,262144,263168,0.5128710633143783,513127.01929273014,1.9498078006928279
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,1024,1024,512,1,2048,262144,264192,0.4714358529696862,560398.6169821238,2.121179358126377
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,128,128,1024,1,256,1048576,1048832,1.1249405241881807,932344.4017246113,0.8889358846074599
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,256,256,1024,1,512,1048576,1049088,1.0745548807705443,976300.0650536504,0.9306178938789219
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,512,512,1024,1,1024,1048576,1049600,0.5696248173092803,1842616.3469456336,1.7555414890869223
Nvidia A100 GPU,2,vLLM,allenai/Molmo-7B-D-0924,1024,1024,1024,1,2048,1048576,1050624,0.576009555409352,1823969.7417056812,1.736082310803562

Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,128,128,128,1,256,16384,16640,0.6414783199628195,25940.081655393227,1.5588991379443045
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,256,256,128,1,512,16384,16896,0.6727248126020035,25115.7675226051,1.4864919225026691
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,512,512,128,1,1024,16384,17408,0.4043019035210212,43056.93307005391,2.4733991883073245
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,1024,1024,128,1,2048,16384,18432,0.3384780762717128,54455.52102820313,2.954401097450257
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,128,128,256,1,256,65536,65792,0.7216228314985832,91172.2815967044,1.385765466875979
