Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,128,1,256,16384,16640,0.12976142795135578,128235.33358647923,7.706450335725916
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,128,1,512,16384,16896,0.15116516159226498,111771.78539042793,6.615280858808471
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,128,1,1024,16384,17408,0.16180573186526695,107585.8055170466,6.180250776484754
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,128,1,2048,16384,18432,0.16745412008215985,110071.94084538802,5.971784985101347
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,256,1,256,65536,65792,0.1418915248165528,463678.1519196475,7.047637279907094
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,256,1,512,65536,66048,0.15866625184814134,416269.9958603308,6.302537485772935
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,256,1,1024,65536,66560,0.1629417467241486,408489.5451175101,6.137162636981822
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,256,1,2048,65536,67584,0.1418275044610103,476522.52119108156,7.05081855455554
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,512,1,256,262144,262400,0.16077885683625937,1632055.390636555,6.219723287486871
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,512,1,512,262144,262656,0.16485090367496014,1593294.2686070083,6.066087462715523
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,512,1,1024,262144,263168,0.12689293113847575,2073937.4340152168,7.8806596319279585
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,512,1,2048,262144,264192,0.16492439961681762,1601897.6004388612,6.063384207087502
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,1024,1,256,1048576,1048832,0.16287821469207606,6439363.311925012,6.139556489433018
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,1024,1,512,1048576,1049088,0.15313759539276361,6850623.4364548065,6.530075109480622
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,1024,1,1024,1048576,1049600,0.16701139602810144,6284601.080895064,5.987615359084474
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,1024,1,2048,1048576,1050624,0.15952231952299675,6586062.709855106,6.268715268121712
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,128,16,4096,262144,266240,0.49324505031108856,539772.2690416924,32.43823732221709
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,128,16,8192,262144,270336,0.8077588984742761,334674.12183340883,19.807890733511414
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,128,16,16384,262144,278528,0.3214952020595471,866351.9648682384,49.767461217155244
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,128,16,32768,262144,294912,0.3005007601653536,981401.8435018989,53.24445765526795
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,256,16,4096,1048576,1052672,0.4536191013952096,2320607.74504924,35.27188328443033
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,256,16,8192,1048576,1056768,0.3526184866204858,2996916.0441022827,45.37481898168427
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,256,16,16384,1048576,1064960,0.437660353568693,2433302.425765301,36.55802923325272
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,256,16,32768,1048576,1081344,0.3079175517583887,3511797.212678834,51.961961598585965
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,512,16,4096,4194304,4198400,0.3363898256793618,12480757.976318248,47.56386423901771
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,512,16,8192,4194304,4202496,0.33669833776851493,12481487.220436703,47.5202821197182
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,512,16,16384,4194304,4210688,0.33713256381452084,12489710.137631739,47.45907609447858
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,512,16,32768,4194304,4227072,0.3403355994572242,12420305.15391702,47.01241958089957
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,1024,16,4096,16777216,16781312,0.4345333284387986,38619159.68630596,36.821111184923765
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,1024,16,8192,16777216,16785408,0.6177788780381283,27170576.069717996,25.899234449081483
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,1024,16,16384,16777216,16793600,0.4390717288479209,38247964.73247021,36.44051517956384
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,1024,16,32768,16777216,16809984,0.4758093875522415,35329239.90103988,33.62691115093495
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,128,32,8192,524288,532480,0.6621657134965062,804149.156543137,48.326271426871216
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,128,32,16384,524288,540672,0.6103585014740626,885826.9339973731,52.42820395344301
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,128,32,32768,524288,557056,0.486719056032598,1144512.410384629,65.74634710389643
