Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput



Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,256,1,256,65536,65792,0.338695565238595,194251.1410022527,2.9525039670819053
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,256,1,512,65536,66048,0.3673997586593032,179771.4844479459,2.7218308570728245
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,256,1,1024,65536,66560,0.33753245199720067,197195.85363173322,2.9626780894190685
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,256,1,2048,65536,67584,0.6668290154387554,101351.31860681191,1.4996348041964358
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,512,1,256,262144,262400,0.34493809193372726,760716.2158547996,2.8990709445685963
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,512,1,512,262144,262656,0.6610576836392283,397326.89975561085,1.5127272925636988
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,512,1,1024,262144,263168,0.8325107237324119,316113.6457439655,1.2011857282951024
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,512,1,2048,262144,264192,0.8428276913861433,313459.08861335675,1.186482136527059
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,1024,1,256,1048576,1048832,0.34750421935071546,3018184.93588268,2.8776629010963437
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,1024,1,512,1048576,1049088,0.3423025126879414,3064797.8355811737,2.921392519580029
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,1024,1,1024,1048576,1049600,0.6498888296385607,1615045.454133657,1.5387247085877067
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,1024,1,2048,1048576,1050624,0.5705326454093059,1841479.2009776612,1.7527480820709038
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,128,1,256,16384,16640,0.4261823386574785,39044.32091770353,2.3464135166889144
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,128,1,512,16384,16896,0.33521041367202997,50404.1620154768,2.983200876862974
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,128,1,1024,16384,17408,0.6049122310553988,28777.728579942945,1.6531323862559135
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,128,1,2048,16384,18432,0.5247313616176447,35126.5454063537,1.9057370554662383

Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,256,1,256,65536,65792,0.7184676708032688,91572.66593003765,1.3918510750552902
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,256,1,512,65536,66048,0.39262126851826906,168223.18426421852,2.5469837733802465
