Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,128,1,256,16384,16640,0.36635881941765547,45419.95201985327,2.7295644242700283
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,128,1,512,16384,16896,0.2412201358626286,70043.90383737297,4.14559089946573
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,128,1,1024,16384,17408,0.5054677613079548,34439.38730128869,1.9783655389067492
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,128,1,2048,16384,18432,0.42820613520840806,43044.689191641635,2.335323849372919
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,256,1,256,65536,65792,0.24270444735884666,271078.6749726276,4.120237642458469
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,256,1,512,65536,66048,0.32280852117886144,204604.2643446955,3.0978116573506465
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,256,1,1024,65536,66560,0.7227032113199433,92098.66368026093,1.3836938653885356
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,256,1,2048,65536,67584,0.6668153017138442,101353.40299824563,1.4996656456890038
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,512,1,256,262144,262400,0.6257268755386273,419352.2929219325,1.5981413602207792
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,512,1,512,262144,262656,0.44216315541416407,594025.0714783691,2.261608611561773
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,512,1,1024,262144,263168,0.706480865056316,372505.4888486215,1.4154665037110192
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,512,1,2048,262144,264192,0.43185866934557754,611755.694056916,2.3155723642537094
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,1024,1,256,1048576,1048832,0.973927601861457,1076909.6162747405,1.026770365773299
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,1024,1,512,1048576,1049088,0.8125887047499418,1291044.2809106437,1.2306348761120551
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,1024,1,1024,1048576,1049600,1.0196785150716703,1029344.0378374811,0.9807012555616246
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,1024,1,2048,1048576,1050624,0.6362584885209799,1651253.4118676153,1.5716882651334971
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,128,16,4096,262144,266240,1.35742130347838,196136.60056591302,11.787055322470733
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,128,16,8192,262144,270336,1.1993564733614523,225400.87622350152,13.340487465879587
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,128,16,16384,262144,278528,2.739671147428453,101664.75646591223,5.8401169844848475
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,128,16,32768,262144,294912,3.183145542939504,92647.9785550933,5.026474530983794
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,256,16,4096,1048576,1052672,1.519695967125396,692685.9205866011,10.528421701522998
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,256,16,8192,1048576,1056768,2.868335067294538,368425.57623393746,5.57814886497604
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,256,16,16384,1048576,1064960,3.067172215630611,347212.3262504985,5.21653134390773
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,256,16,32768,1048576,1081344,3.218437178991735,335984.18731253943,4.971356938218208
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,512,16,4096,4194304,4198400,3.0524966660887003,1375398.7175945377,5.241610966442598
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,512,16,8192,4194304,4202496,3.3360279261445007,1259730.4618060826,4.796122920497086
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,512,16,16384,4194304,4210688,3.370071535309156,1249435.792648161,4.747673701392878
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,512,16,32768,4194304,4227072,3.4903806898122034,1211063.3124742142,4.584027194139922
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,1024,16,4096,16777216,16781312,6.259513600418965,2680929.073926253,2.5561091518243653
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,1024,16,8192,16777216,16785408,6.843729480480154,2452669.7099696496,2.337906553091494
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,1024,16,16384,16777216,16793600,8.297393349309763,2023960.9348394955,1.928316439443117
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,1024,16,32768,16777216,16809984,6.952526048757136,2417823.9509084653,2.301321834365544
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,128,32,8192,524288,532480,2.125772018916905,250487.82054780368,15.053354600228586
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,128,32,16384,524288,540672,2.274271613607804,237734.13727936475,14.070438996174524
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,128,32,32768,524288,557056,5.84870314070334,95244.36214299138,5.471298376780295
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,128,32,65536,524288,589824,6.790338380883138,86862.23968757337,4.712578108049771
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,256,32,8192,2097152,2105344,3.6429366525262594,577924.9547312363,8.78412200162993
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,256,32,16384,2097152,2113536,3.4009928731247783,621446.7594747167,9.409017070535318
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,256,32,32768,2097152,2129920,5.977878374047577,356300.3237481138,5.3530697678502674
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,256,32,65536,2097152,2162688,6.86276441005369,315133.65034529584,4.662844021444363
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,512,32,8192,8388608,8396800,6.1628484049191075,1362486.8645637594,5.192404209465546
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,512,32,16384,8388608,8404992,7.060902396837871,1190356.6325692395,4.531998631553209
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,512,32,32768,8388608,8421376,7.123570146349569,1182184.7510430545,4.492129556188649
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,512,32,65536,8388608,8454144,7.587046659551561,1114286.5438104067,4.2177149338753885
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,1024,32,8192,33554432,33562624,12.410821897909045,2704303.0893590194,2.578394909155155
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,1024,32,16384,33554432,33570816,13.279768212077519,2527967.0144745773,2.409680612564987
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,1024,32,32768,33554432,33587200,13.775603426309923,2438165.4262674297,2.3229472430139384
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,1024,32,65536,33554432,33619968,13.960286553638676,2408257.7295834324,2.292216558524679
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,128,64,16384,1048576,1064960,5.96743626644214,178461.8976140222,10.724873654688833
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,128,64,32768,1048576,1081344,4.800567000483473,225253.3919203911,13.33175851801557
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,128,64,65536,1048576,1114112,10.021195797560116,111175.55454522258,6.386463381504054
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,128,64,131072,1048576,1179648,12.438685491681099,94837.03087347452,5.145238220132081
